n° 	mediumBlock 	mediumBest
1 	0.812809 	0.889612
2 	0.809734 	0.889612
3 	0.819091 	0.889612
4 	0.801714 	0.889612
5 	0.804127 	0.889612
6 	0.805559 	0.889612
7 	0.809414 	0.889612
8 	0.821162 	0.890165
9 	0.807639 	0.890165
10 	0.794064 	0.890165
11 	0.792951 	0.890165
12 	0.795830 	0.890165
13 	0.797184 	0.890165
14 	0.788732 	0.890165
15 	0.792236 	0.890165
16 	0.798134 	0.890165
17 	0.795077 	0.890165
18 	0.788495 	0.890165
19 	0.797940 	0.890165
20 	0.786640 	0.890165
21 	0.783675 	0.890165
22 	0.792649 	0.890165
23 	0.793404 	0.890165
24 	0.791104 	0.890165
25 	0.789285 	0.890165
26 	0.788505 	0.890165
27 	0.790038 	0.890165
28 	0.793608 	0.890165
29 	0.789711 	0.890165
30 	0.791702 	0.890165
31 	0.790922 	0.890165
32 	0.799339 	0.890165
33 	0.790048 	0.890165
34 	0.794209 	0.890165
35 	0.801836 	0.890165
36 	0.800585 	0.890165
37 	0.798089 	0.890165
38 	0.784787 	0.890165
39 	0.792314 	0.890165
40 	0.791544 	0.890165
41 	0.799843 	0.890165
42 	0.793327 	0.890165
43 	0.791423 	0.890165
44 	0.802112 	0.890165
45 	0.794844 	0.890165
46 	0.791150 	0.890165
47 	0.789790 	0.890165
48 	0.790491 	0.890165
49 	0.801037 	0.890165
50 	0.794721 	0.890165
51 	0.790891 	0.890165
52 	0.795002 	0.890165
53 	0.793380 	0.890165
54 	0.789787 	0.890165
55 	0.788613 	0.890165
56 	0.788549 	0.890165
57 	0.793378 	0.890165
58 	0.798203 	0.890165
59 	0.798717 	0.890165
60 	0.794700 	0.890165
61 	0.794165 	0.890165
62 	0.793038 	0.890165
63 	0.787910 	0.890165
64 	0.795632 	0.890165
65 	0.799393 	0.890165
66 	0.793393 	0.890165
67 	0.798811 	0.890165
68 	0.800356 	0.890165
69 	0.789861 	0.890165
70 	0.789352 	0.890165
71 	0.786456 	0.890165
72 	0.789340 	0.890165
73 	0.783751 	0.890165
74 	0.796885 	0.890165
75 	0.792251 	0.890165
76 	0.791336 	0.890165
77 	0.789253 	0.890165
78 	0.794038 	0.890165
79 	0.792434 	0.890165
80 	0.787754 	0.890165
81 	0.782644 	0.890165
82 	0.789782 	0.890165
83 	0.795401 	0.890165
84 	0.791835 	0.890165
85 	0.791264 	0.890165
86 	0.788228 	0.890165
87 	0.795917 	0.890165
88 	0.786577 	0.890165
89 	0.783959 	0.890165
90 	0.784317 	0.890165
91 	0.782287 	0.890165
92 	0.793352 	0.890165
93 	0.787164 	0.890165
94 	0.798042 	0.890165
95 	0.795319 	0.890165
96 	0.784473 	0.890165
97 	0.787493 	0.890165
98 	0.796579 	0.890165
99 	0.792777 	0.890165
100 	0.794441 	0.890165
101 	0.786517 	0.890165
102 	0.791243 	0.890165
103 	0.784682 	0.890165
104 	0.784913 	0.890165
105 	0.785010 	0.890165
106 	0.795970 	0.890165
107 	0.796863 	0.890165
108 	0.790010 	0.890165
109 	0.791071 	0.890165
110 	0.787406 	0.890165
111 	0.784527 	0.890165
112 	0.790266 	0.890165
113 	0.790323 	0.890165
114 	0.795902 	0.890165
115 	0.781946 	0.890165
116 	0.792175 	0.890165
117 	0.785464 	0.890165
118 	0.788835 	0.890165
119 	0.799346 	0.890165
120 	0.792726 	0.890165
121 	0.789774 	0.890165
122 	0.788515 	0.890165
123 	0.801545 	0.890165
124 	0.789868 	0.890165
125 	0.790340 	0.890165
126 	0.794211 	0.890165
127 	0.788504 	0.890165
128 	0.795425 	0.890165
129 	0.799919 	0.890165
130 	0.794723 	0.890165
131 	0.792646 	0.890165
132 	0.793374 	0.890165
133 	0.795870 	0.890165
134 	0.792551 	0.890165
135 	0.787071 	0.890165
136 	0.786796 	0.890165
137 	0.790481 	0.890165
138 	0.792619 	0.890165
139 	0.799345 	0.890165
140 	0.792052 	0.890165
141 	0.794535 	0.890165
142 	0.793181 	0.890165
143 	0.791500 	0.890165
144 	0.781996 	0.890165
145 	0.787923 	0.890165
146 	0.786018 	0.890165
147 	0.794216 	0.890165
148 	0.798486 	0.890165
149 	0.784720 	0.890165
150 	0.790332 	0.890165
151 	0.788242 	0.890165
152 	0.796865 	0.890165
153 	0.797183 	0.890165
154 	0.790824 	0.890165
155 	0.784116 	0.890165
156 	0.801763 	0.890165
157 	0.795941 	0.890165
158 	0.790840 	0.890165
159 	0.786157 	0.890165
160 	0.795365 	0.890165
161 	0.789250 	0.890165
162 	0.788023 	0.890165
163 	0.786082 	0.890165
164 	0.791967 	0.890165
165 	0.787229 	0.890165
166 	0.787912 	0.890165
167 	0.792478 	0.890165
168 	0.792438 	0.890165
169 	0.787605 	0.890165
170 	0.789157 	0.890165
171 	0.787897 	0.890165
172 	0.786626 	0.890165
173 	0.791127 	0.890165
174 	0.791115 	0.890165
175 	0.777911 	0.890165
176 	0.790062 	0.890165
177 	0.789495 	0.890165
178 	0.788169 	0.890165
179 	0.795135 	0.890165
180 	0.793270 	0.890165
181 	0.796305 	0.890165
182 	0.795315 	0.890165
183 	0.794196 	0.890165
184 	0.789056 	0.890165
185 	0.778905 	0.890165
186 	0.781219 	0.890165
187 	0.783010 	0.890165
188 	0.788854 	0.890165
189 	0.792780 	0.890165
190 	0.791110 	0.890165
191 	0.794900 	0.890165
192 	0.794178 	0.890165
193 	0.785840 	0.890165
194 	0.801059 	0.890165
195 	0.787472 	0.890165
196 	0.785847 	0.890165
197 	0.783055 	0.890165
198 	0.789102 	0.890165
199 	0.791844 	0.890165
200 	0.786977 	0.890165
201 	0.790535 	0.890165
202 	0.799571 	0.890165
203 	0.796256 	0.890165
204 	0.801189 	0.890165
205 	0.784220 	0.890165
206 	0.789928 	0.890165
207 	0.790838 	0.890165
208 	0.791733 	0.890165
209 	0.791963 	0.890165
210 	0.789013 	0.890165
211 	0.802714 	0.890165
212 	0.787785 	0.890165
213 	0.796935 	0.890165
214 	0.789961 	0.890165
215 	0.790052 	0.890165
216 	0.788490 	0.890165
217 	0.784098 	0.890165
218 	0.787680 	0.890165
219 	0.791210 	0.890165
220 	0.793250 	0.890165
221 	0.787174 	0.890165
222 	0.787740 	0.890165
223 	0.792831 	0.890165
224 	0.797300 	0.890165
225 	0.795577 	0.890165
226 	0.787987 	0.890165
227 	0.789918 	0.890165
228 	0.789527 	0.890165
229 	0.793648 	0.890165
230 	0.787382 	0.890165
231 	0.784596 	0.890165
232 	0.781419 	0.890165
233 	0.789406 	0.890165
234 	0.784341 	0.890165
235 	0.795992 	0.890165
236 	0.789639 	0.890165
237 	0.783736 	0.890165
238 	0.793011 	0.890165
239 	0.791710 	0.890165
240 	0.793210 	0.890165
241 	0.779340 	0.890165
242 	0.788514 	0.890165
243 	0.789109 	0.890165
244 	0.787575 	0.890165
245 	0.800540 	0.890165
246 	0.776094 	0.890165
247 	0.786531 	0.890165
248 	0.793291 	0.890165
249 	0.787925 	0.890165
250 	0.792650 	0.890165
251 	0.793504 	0.890165
252 	0.788379 	0.890165
253 	0.793859 	0.890165
254 	0.798440 	0.890165
255 	0.785074 	0.890165
256 	0.791645 	0.890165
257 	0.785269 	0.890165
258 	0.787689 	0.890165
259 	0.791817 	0.890165
260 	0.789822 	0.890165
261 	0.787135 	0.890165
262 	0.787963 	0.890165
263 	0.792154 	0.890165
264 	0.785227 	0.890165
265 	0.792486 	0.890165
266 	0.796629 	0.890165
267 	0.784744 	0.890165
268 	0.795899 	0.890165
269 	0.786091 	0.890165
270 	0.793136 	0.890165
271 	0.795244 	0.890165
272 	0.790675 	0.890165
273 	0.787970 	0.890165
274 	0.782674 	0.890165
275 	0.785469 	0.890165
276 	0.795746 	0.890165
277 	0.796151 	0.890165
278 	0.789155 	0.890165
279 	0.793576 	0.890165
280 	0.789485 	0.890165
281 	0.787503 	0.890165
282 	0.794913 	0.890165
283 	0.786928 	0.890165
284 	0.789427 	0.890165
285 	0.788743 	0.890165
286 	0.792022 	0.890165
287 	0.785217 	0.890165
288 	0.791799 	0.890165
289 	0.790257 	0.890165
290 	0.789019 	0.890165
291 	0.791486 	0.890165
292 	0.782052 	0.890165
293 	0.791885 	0.890165
294 	0.783177 	0.890165
295 	0.785826 	0.890165
296 	0.782790 	0.890165
297 	0.786747 	0.890165
298 	0.793801 	0.890165
299 	0.785772 	0.890165
300 	0.788209 	0.890165
301 	0.792154 	0.890165
302 	0.798684 	0.890165
303 	0.791766 	0.890165
304 	0.793132 	0.890165
305 	0.788298 	0.890165
306 	0.797167 	0.890165
307 	0.784638 	0.890165
308 	0.788495 	0.890165
309 	0.789408 	0.890165
310 	0.783531 	0.890165
311 	0.786178 	0.890165
312 	0.787917 	0.890165
313 	0.789731 	0.890165
314 	0.780964 	0.890165
315 	0.783388 	0.890165
316 	0.787205 	0.890165
317 	0.783763 	0.890165
318 	0.788387 	0.890165
319 	0.786528 	0.890165
320 	0.787133 	0.890165
321 	0.790928 	0.890165
322 	0.780562 	0.890165
323 	0.779935 	0.890165
324 	0.787779 	0.890165
325 	0.790566 	0.890165
326 	0.795419 	0.890165
327 	0.794802 	0.890165
328 	0.785530 	0.890165
329 	0.785653 	0.890165
330 	0.782362 	0.890165
331 	0.785656 	0.890165
332 	0.791923 	0.890165
333 	0.788639 	0.890165
334 	0.785274 	0.890165
335 	0.793260 	0.890165
336 	0.796687 	0.890165
337 	0.798082 	0.890165
338 	0.792435 	0.890165
339 	0.795520 	0.890165
340 	0.783752 	0.890165
341 	0.785987 	0.890165
342 	0.787311 	0.890165
343 	0.796568 	0.890165
344 	0.791823 	0.890165
345 	0.790267 	0.890165
346 	0.781008 	0.890165
347 	0.789593 	0.890165
348 	0.775973 	0.890165
349 	0.791926 	0.890165
350 	0.787050 	0.890165
351 	0.796910 	0.890165
352 	0.783152 	0.890165
353 	0.785386 	0.890165
354 	0.790825 	0.890165
355 	0.778321 	0.890165
356 	0.790636 	0.890165
357 	0.787860 	0.890165
358 	0.793150 	0.890165
359 	0.789811 	0.890165
360 	0.790086 	0.890165
361 	0.790554 	0.890165
362 	0.784505 	0.890165
363 	0.794358 	0.890165
364 	0.788786 	0.890165
365 	0.779818 	0.890165
366 	0.799368 	0.890165
367 	0.786282 	0.890165
368 	0.789659 	0.890165
369 	0.793335 	0.890165
370 	0.782938 	0.890165
371 	0.781818 	0.890165
372 	0.791431 	0.890165
373 	0.781273 	0.890165
374 	0.783220 	0.890165
375 	0.792283 	0.890165
376 	0.798725 	0.890165
