n° 	mediumBlock 	mediumBest
1 	0.790047 	0.889819
2 	0.771831 	0.889819
3 	0.771959 	0.889819
4 	0.774080 	0.889819
5 	0.773718 	0.889819
6 	0.777048 	0.889819
7 	0.774397 	0.889819
8 	0.771990 	0.889819
9 	0.787232 	0.889819
10 	0.778856 	0.899419
11 	0.775903 	0.899419
12 	0.769230 	0.899419
13 	0.767773 	0.899419
14 	0.766233 	0.899419
15 	0.773288 	0.899419
16 	0.776325 	0.899419
17 	0.772929 	0.899419
18 	0.773999 	0.899419
19 	0.776226 	0.899419
20 	0.773681 	0.899419
21 	0.774403 	0.899419
22 	0.774840 	0.899419
23 	0.766585 	0.899419
24 	0.774164 	0.899419
25 	0.767618 	0.899419
26 	0.762126 	0.899419
27 	0.765692 	0.899419
28 	0.782088 	0.899419
29 	0.778237 	0.899419
30 	0.782625 	0.899419
31 	0.764200 	0.899419
32 	0.756969 	0.899419
33 	0.775624 	0.899419
34 	0.773347 	0.899419
35 	0.771894 	0.899419
36 	0.767513 	0.899419
37 	0.772319 	0.899419
38 	0.760802 	0.899419
39 	0.774059 	0.899419
40 	0.765339 	0.899419
41 	0.780696 	0.899419
42 	0.769423 	0.899419
43 	0.769651 	0.899419
44 	0.766125 	0.899419
45 	0.766417 	0.899419
46 	0.766382 	0.899419
47 	0.775058 	0.899419
48 	0.762783 	0.899419
49 	0.761204 	0.899419
50 	0.772457 	0.899419
51 	0.771304 	0.899419
52 	0.767574 	0.899419
53 	0.768878 	0.899419
54 	0.763602 	0.899419
55 	0.764071 	0.899419
56 	0.771475 	0.899419
57 	0.771905 	0.899419
58 	0.766470 	0.899419
59 	0.757261 	0.899419
60 	0.773043 	0.899419
61 	0.759025 	0.899419
62 	0.765140 	0.899419
63 	0.771189 	0.899419
64 	0.769947 	0.899419
65 	0.778549 	0.899419
66 	0.772635 	0.899419
67 	0.775978 	0.899419
68 	0.761143 	0.899419
69 	0.770924 	0.899419
70 	0.767337 	0.899419
71 	0.771488 	0.899419
72 	0.760254 	0.899419
73 	0.784325 	0.899419
74 	0.773115 	0.899419
75 	0.766809 	0.899419
76 	0.764302 	0.899419
77 	0.775671 	0.899419
78 	0.771571 	0.899419
79 	0.767067 	0.899419
80 	0.774159 	0.899419
81 	0.769062 	0.899419
82 	0.783256 	0.899419
83 	0.761502 	0.899419
84 	0.764280 	0.899419
85 	0.767470 	0.899419
86 	0.767989 	0.899419
87 	0.773966 	0.899419
88 	0.773451 	0.899419
89 	0.768528 	0.899419
90 	0.773233 	0.899419
91 	0.767903 	0.899419
92 	0.768709 	0.899419
93 	0.772323 	0.899419
94 	0.771773 	0.899419
95 	0.774602 	0.899419
96 	0.763394 	0.899419
97 	0.767063 	0.899419
98 	0.768380 	0.899419
99 	0.768755 	0.899419
100 	0.772801 	0.899419
101 	0.768725 	0.899419
102 	0.765403 	0.899419
103 	0.775145 	0.899419
104 	0.766422 	0.899419
105 	0.770880 	0.899419
106 	0.767919 	0.899419
107 	0.773615 	0.899419
108 	0.759647 	0.899419
109 	0.765271 	0.899419
110 	0.767647 	0.899419
111 	0.765725 	0.899419
112 	0.777132 	0.899419
113 	0.781235 	0.899419
114 	0.766178 	0.899419
115 	0.768725 	0.899419
116 	0.771387 	0.899419
117 	0.773020 	0.899419
118 	0.757773 	0.899419
119 	0.775381 	0.904763
120 	0.764341 	0.904763
121 	0.771576 	0.904763
122 	0.771324 	0.904763
123 	0.769066 	0.904763
124 	0.770161 	0.904763
125 	0.778285 	0.904763
126 	0.762080 	0.904763
127 	0.765476 	0.904763
128 	0.763958 	0.904763
129 	0.765461 	0.904763
130 	0.775339 	0.904763
131 	0.772876 	0.904763
132 	0.772618 	0.904763
133 	0.763452 	0.904763
134 	0.767191 	0.904763
135 	0.770341 	0.904763
136 	0.772945 	0.904763
137 	0.770514 	0.904763
138 	0.776420 	0.904763
139 	0.769029 	0.904763
140 	0.768822 	0.904763
141 	0.767133 	0.904763
142 	0.751850 	0.904763
143 	0.766048 	0.904763
144 	0.769278 	0.904763
145 	0.775426 	0.904763
146 	0.766209 	0.904763
147 	0.755533 	0.904763
148 	0.780237 	0.904763
149 	0.764549 	0.904763
150 	0.764378 	0.904763
151 	0.765646 	0.904763
152 	0.769681 	0.904763
153 	0.773266 	0.904763
154 	0.772667 	0.904763
155 	0.769367 	0.904763
156 	0.772696 	0.904763
157 	0.776850 	0.904763
158 	0.766914 	0.904763
159 	0.775479 	0.904763
160 	0.775835 	0.904763
161 	0.764178 	0.904763
162 	0.760827 	0.904763
163 	0.769079 	0.904763
164 	0.773866 	0.904763
165 	0.761140 	0.904763
166 	0.770136 	0.904763
167 	0.771203 	0.904763
168 	0.763629 	0.904763
169 	0.775328 	0.904763
170 	0.775158 	0.904763
171 	0.774754 	0.904763
172 	0.773541 	0.904763
173 	0.767413 	0.904763
174 	0.765166 	0.904763
175 	0.753303 	0.904763
176 	0.766476 	0.904763
177 	0.777301 	0.904763
178 	0.761931 	0.904763
179 	0.757290 	0.904763
