n° 	mediumBlock 	mediumBest
1 	0.761149 	0.816487
2 	0.761916 	0.816487
3 	0.755158 	0.818291
4 	0.759085 	0.819437
5 	0.759940 	0.819437
6 	0.757492 	0.819437
7 	0.760556 	0.819437
8 	0.755640 	0.828799
9 	0.754105 	0.828799
10 	0.752849 	0.828799
11 	0.753372 	0.828799
12 	0.749124 	0.828799
13 	0.754993 	0.828799
14 	0.757061 	0.828799
15 	0.746853 	0.828799
16 	0.754349 	0.828799
17 	0.753422 	0.828799
18 	0.750734 	0.828799
19 	0.744245 	0.828799
20 	0.756658 	0.828799
21 	0.753822 	0.828799
22 	0.750771 	0.828799
23 	0.744632 	0.828799
24 	0.748540 	0.828799
25 	0.751407 	0.828799
26 	0.750387 	0.828799
27 	0.742535 	0.828799
28 	0.742851 	0.828799
29 	0.749648 	0.828799
30 	0.754173 	0.828799
31 	0.753383 	0.828799
32 	0.751328 	0.828799
33 	0.752134 	0.828799
34 	0.745691 	0.828799
35 	0.748520 	0.828799
36 	0.751386 	0.828799
37 	0.752714 	0.828799
38 	0.748170 	0.828799
39 	0.750549 	0.828799
40 	0.747648 	0.828799
41 	0.748740 	0.828799
42 	0.744121 	0.828799
43 	0.746062 	0.828799
44 	0.751698 	0.828799
45 	0.747442 	0.828799
46 	0.753573 	0.828799
47 	0.748600 	0.828799
48 	0.747300 	0.828799
49 	0.748755 	0.828799
50 	0.749455 	0.828799
51 	0.754127 	0.828799
52 	0.752129 	0.828799
53 	0.748792 	0.828799
54 	0.743391 	0.828799
55 	0.748707 	0.828799
56 	0.754347 	0.828799
57 	0.753395 	0.828799
58 	0.750012 	0.828799
59 	0.752670 	0.828799
60 	0.750502 	0.828799
61 	0.746298 	0.828799
62 	0.748146 	0.828799
63 	0.745358 	0.828799
64 	0.750508 	0.828799
65 	0.746982 	0.828799
66 	0.747140 	0.828799
67 	0.738455 	0.828799
68 	0.743392 	0.828799
69 	0.745386 	0.828799
70 	0.743935 	0.828799
71 	0.751179 	0.828799
72 	0.748220 	0.828799
73 	0.747912 	0.828799
74 	0.747123 	0.828799
75 	0.748633 	0.828799
76 	0.744494 	0.828799
77 	0.740470 	0.828799
78 	0.745584 	0.828799
79 	0.745213 	0.828799
80 	0.753220 	0.828799
81 	0.748951 	0.828799
82 	0.742560 	0.828799
83 	0.747078 	0.828799
84 	0.748044 	0.828799
85 	0.749301 	0.828799
86 	0.740774 	0.828799
87 	0.746665 	0.828799
88 	0.750264 	0.828799
89 	0.747057 	0.828799
90 	0.748977 	0.828799
